,source_text,polyphone,location,narrow_context,context,index,reading,gloss
735015,中論,風,22,都託之乎觀風然而好變易,無倫而辭察託之乎通理居必人才遊必帝都託之乎觀風然而好變易姓名求之難獲託之乎能靜卑屈其體輯柔其顔託之乎煴恭然,0,prəm,wind (n.)
733961,中論,深,18,可誣哉故根深而枝葉茂行,者莫不見也有耳者莫不聞也其可誣哉故根深而枝葉茂行久而名譽逺易曰恒亨無咎利貞言久於其道也伊尹放太甲展季覆寒女,1,◦ləms,
734361,中論,質,30,藝乎旣脩其質且加其文文,菁菁者莪在彼中阿旣見君子樂且有儀美育■材其猶人之於藝乎旣脩其質且加其文文質著然後體全體全然後可登乎清廟而可羞乎,1,t-lit,"substance, solid part"
734976,中論,於,26,狎之斯術之於斯民也猶内,定䘮其故性而不自知其迷也咸相與祖述其業而寵狎之斯術之於斯民也猶内關之疾也非有痛癢煩苛於身情志慧然不覺疾之巳,1,ʔa,at (locative preposition)
737071,中論,所,26,卿六遂之法所以維持其民,欲樹藝也雖有良農安所措其疆力乎是以先王制六卿六遂之法所以維持其民而爲之綱目也,0,s-qʰraʔ,place (n.); that which
736853,中論,籠,31,其心也斯與籠鳥檻獸無以,爲辱故明王之得賢也得其心也非謂得其軀也苟得其軀而不論其心也斯與籠鳥檻獸無以異也則賢者之於我也亦猶怨讐也豈,1,k-rˤoŋʔ,
736338,中論,能,17,所謂效得賢能也苟以衆譽,譽爲驗也此所謂效衆譽也非所謂效得賢能也苟以衆譽爲賢能則伯鯀無羽山之難而唐虞無九載之,2,nˤəʔ,able; ability
735200,中論,僞,30,名亦如之故僞名者皆欲傷,秋也凋零冬也成實斯無爲而自成者也若強爲之則傷其性矣名亦如之故僞名者皆欲傷之者,0,N-ɢʷrajs,
736569,中論,與,31,者三耳樂毅與新王有隙懼,與毅不平即墨守者田單縱反間於燕使宣言曰王巳死城之不㧞者三耳樂毅與新王有隙懼誅而不敢歸外以伐齊爲名實欲因齊人未附故且緩即,0,m-qraʔ,give; for; and
736458,中論,徹,16,之士聲名章徹也非徒如此,君子不遇其時則不如流俗之士聲名章徹也非徒如此又爲流俗之士所裁制焉髙下,-1,,
735581,中論,造,20,昔者聖王之造暦數也察紀,交㳺乎外久而不歸者非仁人之情也昔者聖王之造暦數也察紀律之行觀運機之動原星辰之迭中寤晷景之長短於是管儀以准之立表以測之下,0,dzˤuʔ,make
735231,中論,所,32,者其惟人之所不見乎夫如,文温而理知逺之近知風之自知微之顯可與入德矣君子之不可及者其惟人之所不見,0,s-qʰraʔ,place (n.); that which
735207,中論,離,31,不僻爲幽昧離乎正道則不,爲不善也惑甚矣求名有三少而求多遲而求速無而求有此三者不僻爲幽昧離乎正道則,0,raj,depart from
736294,中論,王,22,與之言則帝王之佐也乃載,遇姜太公皤然皓首方秉竿而釣文王召而與之言則帝王之佐也乃載之歸以爲太師姜太公當此時貧且賤矣年又老矣非有貴顯之舉也其言,0,ɢʷaŋ,king
734923,中論,易,21,髙則化不博易曰豐亨無咎,裳氏來獻白雉故身不尊則施不光居不髙則化不博易曰豐亨無咎王假之勿憂宜日中身尊居髙之謂也斯事也聖人之所務也雖然求之有道得之有命舜禹孔,1,lek,change; exchange
736148,中論,治,24,夫人君非無治爲也失所先,逹於興廢之原通於安危之分如此則君道畢矣夫人君非無治爲也失所先後故也道有本末事有輕重聖人之異乎人者無他焉,1,lrəs,
736423,中論,且,17,子都乃見狂且言所謂好者,詩曰山有扶蘇隰有荷華不見子都乃見狂且言所謂好者非好醜者非醜亦由亂之所致也治丗則不然矣叔丗之君生乎亂求大臣置宰相,0,tsa,[final particle]
735938,中論,反,18,愚惑之民將反天常孔子何,參之也孫氏專以王敎之義也惡愚惑之民將反天常孔子何故曰有殺身以成仁無求生以害仁又曰自古皆有死,1,Cə-panʔ,
736170,中論,展,32,侯不出正兮展我甥兮下及,亂不絶驅馳道路故詩刺之曰猗嗟名兮美目清兮儀旣成兮終日射侯不出正兮展我甥兮下及昭公亦善,0,trenʔ,roll over; unfold
736578,中論,所,25,之大爲田單所破此則似是,懼惟恐他將之來即墨殘矣惠王以爲然使騎刼代之大爲田單所破此則似是而非實者也燕相子之有寵於王欲專國政人爲之言於燕王噲曰人謂堯賢,0,s-qʰraʔ,place (n.); that which
735771,中論,空,25,後人耶故司空頴川荀爽論,餘慶而比干子胥身䧟大禍豈聖人之言不信而欺後人耶故司空頴川荀爽論之以爲古人有言死而不朽謂太上有立德其次有立功其,0,kʰˤoŋ,"hollow, empty; hole"
733181,中論,夫,22,惟其塗丹雘夫聽黄鐘之聲,故可以供神明故書曰若作梓材旣勤樸斵惟其塗丹雘夫聽黄鐘之聲然後知擊缶之細視衮龍之文然後知被褐之陋渉庠,1,ba,final particle
736222,中論,首,25,史籕計如隷首走追駟馬力,人君視如離婁聦如師曠御如王良射如夷羿書如史籕計如隷首走追駟馬力折門鍵有此六者可謂善於有司之職矣何益於治乎無此六,0,◦luʔ,
